,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
1750,86194,-37.91094589,144.9969635,16 Boxshall Street,Brighton,27360000,house,2009,4,3,2,SC_046,4827,19951,469,22,0,hospital_156,483,S_150,386
1751,86224,-37.916098,144.990617,16A Wellington Street,Brighton,26500000,house,2014,2,1,1,SC_046,4934,19951,510,22,0,hospital_156,488,S_150,413
1752,86226,-37.9084549,145.0070496,17 Byron Street,Brighton,17400000,house,2009,4,2,1,SC_046,4415,19952,556,20,0,hospital_126,1391,S_151,301
1753,86253,-37.913965,144.988002,18 Victoria Street,Brighton,11120000,house,2016,4,3,2,SC_015,5080,19951,740,22,0,hospital_198,395,S_150,512
1754,86286,-37.902673,144.98908,2 Avonbury Court,Brighton,37060000,house,2013,4,3,2,SC_015,3853,19952,1213,20,0,hospital_198,930,S_150,1258
1755,86314,-37.905107,144.990944,2 Opawa Street,Brighton,32200000,house,2011,3,2,2,SC_015,4152,19952,1024,20,0,hospital_198,654,S_150,951
1756,86364,-37.919771,145.001268,219 Church Street,Brighton,30360000,house,2009,3,2,2,SC_046,3926,19951,675,22,0,hospital_156,1233,S_009,695
1757,86521,-37.901913,144.990111,3 Lorac Avenue,Brighton,25500000,house,2011,4,2,2,SC_015,3789,19952,1146,20,0,hospital_198,1008,S_150,1313
1758,86561,-37.9266159,145.0032561,31 Champion Street,Brighton,25160000,house,2011,3,1,3,SC_046,3398,19950,1238,23,0,hospital_036,1760,S_088,1174
1759,86639,-37.904189,144.989263,36 Bay Street,Brighton,27300000,house,2014,4,3,2,SC_015,4022,19952,1174,20,0,hospital_198,761,S_150,1094
1760,86654,-37.921482,144.992209,37 Kinane Street,Brighton,23840000,house,2014,3,3,2,SC_046,4520,19950,618,23,0,hospital_156,1082,S_009,756
1761,86679,-37.903604,144.989249,39 Bay Street,Brighton,36000000,house,2012,5,2,2,SC_015,3958,19952,1181,20,0,hospital_198,826,S_150,1156
1762,86701,-37.911108,145.006658,4 Edgar Street,Brighton,22440000,house,2011,4,3,2,SC_046,4210,19952,778,20,0,hospital_156,1328,S_151,558
1763,86703,-37.886131,144.99786,4 Huntley Street,Brighton,8019000,house,2014,2,1,1,SC_015,2457,19954,307,16,0,hospital_116,1011,S_193,721
1764,86775,-37.921876,144.998316,45 Lynch Crescent,Brighton,4560000,house,2016,4,2,2,SC_046,4024,19951,771,22,0,hospital_156,1271,S_009,767
1765,86866,-37.910775,145.003047,51A William Street,Brighton,19500000,house,2010,4,2,2,SC_046,4453,19952,656,20,0,hospital_156,1015,S_151,533
1766,86919,-37.909813,145.005268,6 Bent Street,Brighton,20800000,house,2014,4,2,2,SC_046,4399,19952,596,20,0,hospital_156,1224,S_151,396
1767,86934,-37.897103,144.990808,6 Merton Avenue,Brighton,29400000,house,2014,3,3,2,SC_015,3285,19953,1174,19,0,hospital_198,1543,S_151,1613
1768,86974,-37.92315292,145.00383,65 Champion Street,Brighton,32480000,house,2007,4,3,2,SC_046,3534,19951,1110,22,0,hospital_156,1663,S_009,1127
1769,87020,-37.909895,144.987559,7 Chelsea Street,Brighton,5490000,house,2013,3,2,2,SC_015,4626,19951,964,22,0,hospital_198,277,S_150,669
1770,87029,-37.922383,144.990466,7 Gould Street,Brighton,22680000,house,2015,4,2,2,SC_046,4615,19950,470,23,0,hospital_156,1185,S_009,916
1771,87151,-37.913389,145.007404,836 Hampton Street,Brighton,15600000,house,2012,4,2,2,SC_046,3978,19951,994,22,0,hospital_156,1403,S_151,820
1772,87172,-37.910282,145.007959,872 Hampton Street,Brighton,22750000,house,2013,4,3,2,SC_046,4206,19952,762,20,0,hospital_156,1450,S_151,516
1773,87182,-37.912509,144.998594,9 Baker Street,Brighton,13160000,house,2013,2,1,0,SC_046,4605,19951,355,22,0,hospital_156,623,S_009,397
1774,87222,-37.922882,144.994422,90 New Street,Brighton,9280000,house,2016,5,3,3,SC_046,4277,19950,612,23,0,hospital_156,1262,S_009,853
1775,87306,-37.9322,145.021662,11 Faulkner Street,Hampton,12000000,house,2015,3,1,1,SC_046,1674,19937,1345,38,0,hospital_110,1331,S_214,1471
1776,87334,-37.945156,145.02124,12 Swyer Street,Hampton,14160000,house,2014,5,3,3,SC_046,1628,19948,1573,28,0,hospital_036,1568,S_214,83
1777,87343,-37.93448257,145.0091705,13 Grout Street,Hampton,20410000,house,2009,3,2,1,SC_046,2621,19949,779,26,0,hospital_036,1005,S_088,674
1778,87371,-37.935172,145.018445,142 Ludstone Street,Hampton,8200000,house,2012,3,2,2,SC_046,1812,19949,1522,26,0,hospital_036,1524,S_214,1185
